Round,Accuracy,Event,Recovery_Latency_ms
1,0.3564,New Best Model,0.0
2,0.4431,New Best Model,0.0
3,0.4762,New Best Model,0.0
4,0.5113,New Best Model,0.0
5,0.5383,New Best Model,0.0
6,0.5571,New Best Model,0.0
7,0.5676,New Best Model,0.0
8,0.5817,New Best Model,0.0
9,0.597,New Best Model,0.0
10,0.6065,New Best Model,0.0
11,0.6122,New Best Model,0.0
12,0.6153,New Best Model,0.0
13,0.6193,New Best Model,0.0
14,0.6212,New Best Model,0.0
15,0.6222,New Best Model,0.0
16,0.6233,New Best Model,0.0
17,0.6287,New Best Model,0.0
18,0.6292,New Best Model,0.0
19,0.6302,New Best Model,0.0
20,0.6346,New Best Model,0.0
21,0.6319,Normal,0.0
22,0.6297,Normal,0.0
23,0.6242,Normal,0.0
24,0.6287,Normal,0.0
25,0.6256,Normal,0.0
26,0.6248,Normal,0.0
27,0.6268,Normal,0.0
28,0.6223,Normal,0.0
29,0.6248,Normal,0.0
30,0.6234,Normal,0.0
