Round,Accuracy,Event,Recovery_Latency_ms
1,0.1124,New Best Model,0.0
2,0.1454,New Best Model,0.0
3,0.1616,New Best Model,0.0
4,0.167,New Best Model,0.0
5,0.1727,New Best Model,0.0
6,0.1844,New Best Model,0.0
7,0.1985,New Best Model,0.0
8,0.2512,New Best Model,0.0
9,0.2972,New Best Model,0.0
10,0.3083,New Best Model,0.0
11,0.3234,New Best Model,0.0
12,0.3342,New Best Model,0.0
13,0.3459,New Best Model,0.0
14,0.3532,New Best Model,0.0
15,0.3709,New Best Model,0.0
16,0.3877,New Best Model,0.0
17,0.3982,New Best Model,0.0
18,0.4093,New Best Model,0.0
19,0.4177,New Best Model,0.0
20,0.4227,New Best Model,0.0
21,0.4321,New Best Model,0.0
22,0.4358,New Best Model,0.0
23,0.4443,New Best Model,0.0
24,0.4486,New Best Model,0.0
25,0.4553,New Best Model,0.0
26,0.4575,New Best Model,0.0
27,0.461,New Best Model,0.0
28,0.4643,New Best Model,0.0
29,0.4694,New Best Model,0.0
30,0.4715,New Best Model,0.0
