Round,Accuracy,Event,Recovery_Latency_ms
1,0.1037,New Best Model,0.0
2,0.1122,New Best Model,0.0
3,0.1211,New Best Model,0.0
4,0.1217,New Best Model,0.0
5,0.1232,New Best Model,0.0
6,0.1361,New Best Model,0.0
7,0.1681,New Best Model,0.0
8,0.2055,New Best Model,0.0
9,0.2421,New Best Model,0.0
10,0.2429,New Best Model,0.0
11,0.2249,Normal,0.0
12,0.2187,Normal,0.0
13,0.2247,Normal,0.0
14,0.2364,Normal,0.0
15,0.2417,Normal,0.0
16,0.2462,New Best Model,0.0
17,0.2502,New Best Model,0.0
18,0.2614,New Best Model,0.0
19,0.265,New Best Model,0.0
20,0.2745,New Best Model,0.0
21,0.2759,New Best Model,0.0
22,0.2803,New Best Model,0.0
23,0.2801,Normal,0.0
24,0.2824,New Best Model,0.0
25,0.2887,New Best Model,0.0
26,0.2928,New Best Model,0.0
27,0.2975,New Best Model,0.0
28,0.3021,New Best Model,0.0
29,0.3062,New Best Model,0.0
30,0.312,New Best Model,0.0
