Round,Accuracy,Event,Recovery_Latency_ms,Active_Clients
1,0.3158,New Best Model,0.0,10
2,0.4222,New Best Model,0.0,10
3,0.4605,New Best Model,0.0,10
4,0.497,New Best Model,0.0,10
5,0.5307,New Best Model,0.0,10
6,0.4378,Normal,0.0,10
7,0.2067,Poisoning Detected → Rollback + Quarantine,1687.44,6
8,0.1437,Post-Quarantine Recovery,0.0,6
9,0.3238,Post-Quarantine Recovery,0.0,6
10,0.3572,Post-Quarantine Recovery,0.0,6
11,0.3892,Post-Quarantine Recovery,0.0,6
12,0.4082,Post-Quarantine Recovery,0.0,6
13,0.4215,Post-Quarantine Recovery,0.0,6
14,0.436,Post-Quarantine Recovery,0.0,6
15,0.4515,Post-Quarantine Recovery,0.0,6
16,0.4585,Post-Quarantine Recovery,0.0,6
17,0.476,Post-Quarantine Recovery,0.0,6
18,0.4775,Post-Quarantine Recovery,0.0,6
19,0.4855,Post-Quarantine Recovery,0.0,6
20,0.4853,Post-Quarantine Recovery,0.0,6
21,0.49,Post-Quarantine Recovery,0.0,6
22,0.501,Post-Quarantine Recovery,0.0,6
23,0.499,Post-Quarantine Recovery,0.0,6
24,0.5005,Post-Quarantine Recovery,0.0,6
25,0.4967,Post-Quarantine Recovery,0.0,6
26,0.4988,Post-Quarantine Recovery,0.0,6
27,0.5023,Post-Quarantine Recovery,0.0,6
28,0.499,Post-Quarantine Recovery,0.0,6
29,0.4983,Post-Quarantine Recovery,0.0,6
30,0.4983,Post-Quarantine Recovery,0.0,6
