Round,Accuracy,Event,Recovery_Latency_ms
1,0.1554,New Best Model,0.0
2,0.1637,New Best Model,0.0
3,0.2194,New Best Model,0.0
4,0.2356,New Best Model,0.0
5,0.2456,New Best Model,0.0
6,0.2538,New Best Model,0.0
7,0.2592,New Best Model,0.0
8,0.2692,New Best Model,0.0
9,0.2673,Normal,0.0
10,0.2808,New Best Model,0.0
11,0.2866,New Best Model,0.0
12,0.3004,New Best Model,0.0
13,0.3026,New Best Model,0.0
14,0.304,New Best Model,0.0
15,0.3113,New Best Model,0.0
16,0.316,New Best Model,0.0
17,0.3295,New Best Model,0.0
18,0.3342,New Best Model,0.0
19,0.3363,New Best Model,0.0
20,0.3373,New Best Model,0.0
21,0.3427,New Best Model,0.0
22,0.3483,New Best Model,0.0
23,0.3481,Normal,0.0
24,0.3613,New Best Model,0.0
25,0.3576,Normal,0.0
26,0.3573,Normal,0.0
27,0.3614,New Best Model,0.0
28,0.3533,Normal,0.0
29,0.3772,New Best Model,0.0
30,0.3602,Normal,0.0
