Round,Accuracy,Event,Recovery_Latency_ms
1,0.3153,New Best Model,0.0
2,0.4196,New Best Model,0.0
3,0.4628,New Best Model,0.0
4,0.502,New Best Model,0.0
5,0.5274,New Best Model,0.0
6,0.4458,Normal,0.0
7,0.1751,Critical Accuracy Drop,0.0
8,0.1537,Critical Accuracy Drop,0.0
9,0.1308,Critical Accuracy Drop,0.0
10,0.1024,Critical Accuracy Drop,0.0
11,0.1,Critical Accuracy Drop,0.0
12,0.1,Critical Accuracy Drop,0.0
13,0.1,Critical Accuracy Drop,0.0
14,0.1,Critical Accuracy Drop,0.0
15,0.1,Critical Accuracy Drop,0.0
16,0.1,Critical Accuracy Drop,0.0
17,0.1,Critical Accuracy Drop,0.0
18,0.1,Critical Accuracy Drop,0.0
19,0.1,Critical Accuracy Drop,0.0
20,0.1,Critical Accuracy Drop,0.0
21,0.1,Critical Accuracy Drop,0.0
22,0.1,Critical Accuracy Drop,0.0
23,0.1,Critical Accuracy Drop,0.0
24,0.1,Critical Accuracy Drop,0.0
25,0.1,Critical Accuracy Drop,0.0
26,0.1,Critical Accuracy Drop,0.0
27,0.1,Critical Accuracy Drop,0.0
28,0.1,Critical Accuracy Drop,0.0
29,0.1,Critical Accuracy Drop,0.0
30,0.1,Critical Accuracy Drop,0.0
